frame_number,frame_time,results
0,2024/5/22 Wednesday 0:0:0,"[{'box': [1284.6982421875, 448.7352294921875, 132.6026611328125, 271.351806640625], 'conf': 0.8779356, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9992827773094177, 'id': 1}, {'box': [270.77642822265625, 552.8265380859375, 126.62538146972656, 272.4913330078125], 'conf': 0.86819017, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999730587005615, 'id': 2}, {'box': [1567.80419921875, 511.10101318359375, 139.2198486328125, 248.1170654296875], 'conf': 0.8385135, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.981240451335907, 'id': 3}, {'box': [1674.84814453125, 578.146728515625, 126.450439453125, 262.8857116699219], 'conf': 0.8081661, 'label_id': 'person', 'sub_labels': 'cashier', 'sub_labels_conf': 0.5784973502159119, 'id': 4}, {'box': [333.056396484375, 560.9578857421875, 103.57965087890625, 243.158447265625], 'conf': 0.80236256, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9974011182785034, 'id': 5}, {'box': [1193.895751953125, 301.4419250488281, 94.0224609375, 188.02923583984375], 'conf': 0.79186803, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9854242205619812, 'id': 6}, {'box': [94.73567199707031, 638.1627197265625, 155.16238403320312, 286.5019836425781], 'conf': 0.7869385, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9984667897224426, 'id': 7}, {'box': [501.019775390625, 502.2133483886719, 115.273681640625, 321.07379150390625], 'conf': 0.7608451, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.8873361349105835, 'id': 8}, {'box': [182.7659454345703, 558.105712890625, 104.45123291015625, 241.48565673828125], 'conf': 0.6969803, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.8973777294158936, 'id': 9}, {'box': [1116.35400390625, 248.8296356201172, 113.9593505859375, 239.66812133789062], 'conf': 0.68207943, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9997187256813049, 'id': 10}, {'box': [1836.6031494140625, 579.6865234375, 111.100341796875, 196.92092895507812], 'conf': 0.66731775, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.99997878074646, 'id': 11}, {'box': [399.86651611328125, 507.0791931152344, 102.43142700195312, 316.83489990234375], 'conf': 0.6502424, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9250296950340271, 'id': 12}]"
1,2024/5/22 Wednesday 0:0:0,"[{'box': [1281.4755859375, 447.691162109375, 124.529052734375, 273.5646667480469], 'conf': 0.86548567, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9991121888160706, 'id': 1}, {'box': [270.7502136230469, 552.82763671875, 126.72340393066406, 272.61456298828125], 'conf': 0.8681918, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999732971191406, 'id': 2}, {'box': [1562.9737548828125, 510.92950439453125, 141.73828125, 243.83090209960938], 'conf': 0.8167046, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9955493211746216, 'id': 3}, {'box': [1668.367919921875, 580.153076171875, 134.6058349609375, 264.6408386230469], 'conf': 0.8413845, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.5878482460975647, 'id': 4}, {'box': [332.7392883300781, 560.7665405273438, 103.24530029296875, 243.11776733398438], 'conf': 0.79838765, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9982103109359741, 'id': 5}, {'box': [1193.923095703125, 301.3559875488281, 93.9974365234375, 187.97210693359375], 'conf': 0.7901204, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9911181330680847, 'id': 6}, {'box': [95.0792007446289, 636.7154541015625, 156.2986297607422, 289.01446533203125], 'conf': 0.79969263, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9983522891998291, 'id': 7}, {'box': [500.2981872558594, 502.19708251953125, 114.19818115234375, 321.7843933105469], 'conf': 0.749785, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.904009222984314, 'id': 8}, {'box': [183.48114013671875, 558.2117919921875, 105.82785034179688, 241.14959716796875], 'conf': 0.7057001, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.907968282699585, 'id': 9}, {'box': [1116.514892578125, 248.6323699951172, 113.9097900390625, 239.87942504882812], 'conf': 0.5804591, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9997180104255676, 'id': 10}, {'box': [1832.61572265625, 578.2178344726562, 107.384033203125, 198.99673461914062], 'conf': 0.84127283, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999421834945679, 'id': 11}, {'box': [400.07806396484375, 534.9915771484375, 100.08319091796875, 258.80426025390625], 'conf': 0.6147329, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.990321695804596, 'id': 12}]"
2,2024/5/22 Wednesday 0:0:0,"[{'box': [1275.9808349609375, 446.5130615234375, 114.924560546875, 275.5040283203125], 'conf': 0.86097425, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9993256330490112, 'id': 1}, {'box': [270.7628479003906, 552.8307495117188, 126.84596252441406, 272.679931640625], 'conf': 0.86980176, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999746084213257, 'id': 2}, {'box': [1556.957275390625, 508.9608459472656, 143.5013427734375, 239.66278076171875], 'conf': 0.7943713, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9929184317588806, 'id': 3}, {'box': [1664.193603515625, 579.630859375, 138.0389404296875, 268.6240539550781], 'conf': 0.8422183, 'label_id': 'person', 'sub_labels': 'cashier', 'sub_labels_conf': 0.6647298336029053, 'id': 4}, {'box': [332.7113952636719, 560.6705932617188, 103.2181396484375, 242.97280883789062], 'conf': 0.8059961, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9978851675987244, 'id': 5}, {'box': [1193.7637939453125, 300.9496765136719, 93.476318359375, 189.1861572265625], 'conf': 0.7833797, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9905059933662415, 'id': 6}, {'box': [94.98249816894531, 636.024169921875, 157.54122924804688, 289.69873046875], 'conf': 0.80026877, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9958420395851135, 'id': 7}, {'box': [500.2718505859375, 502.14111328125, 114.0789794921875, 321.0705261230469], 'conf': 0.74588263, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9011555314064026, 'id': 8}, {'box': [182.80609130859375, 558.2091064453125, 104.41177368164062, 241.11895751953125], 'conf': 0.7236682, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.8839260935783386, 'id': 9}, {'box': [1116.41259765625, 248.30169677734375, 114.6805419921875, 240.37303161621094], 'conf': 0.6245611, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9995217323303223, 'id': 10}, {'box': [1832.9112548828125, 576.4640502929688, 108.603271484375, 199.42672729492188], 'conf': 0.80650526, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.999078631401062, 'id': 11}, {'box': [401.61175537109375, 540.6588134765625, 98.74581909179688, 249.7685546875], 'conf': 0.6294989, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.985235333442688, 'id': 12}, {'box': [1357.412353515625, 430.4402160644531, 94.084228515625, 226.68670654296875], 'conf': 0.6400974, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9949359893798828, 'id': 13}]"
3,2024/5/22 Wednesday 0:0:0,"[{'box': [1269.46630859375, 445.5457763671875, 103.7708740234375, 279.0594787597656], 'conf': 0.8542333, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9981454610824585, 'id': 1}, {'box': [270.6660461425781, 553.0720825195312, 126.88658142089844, 271.8610534667969], 'conf': 0.87002206, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999799728393555, 'id': 2}, {'box': [1550.9365234375, 511.0426940917969, 141.2178955078125, 241.62091064453125], 'conf': 0.8707053, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9925192594528198, 'id': 3}, {'box': [1661.3165283203125, 581.154541015625, 142.50732421875, 263.1976623535156], 'conf': 0.8523121, 'label_id': 'person', 'sub_labels': 'cashier', 'sub_labels_conf': 0.8026350736618042, 'id': 4}, {'box': [332.7452392578125, 560.4632568359375, 102.71392822265625, 242.93307495117188], 'conf': 0.7969934, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9982535243034363, 'id': 5}, {'box': [1193.8521728515625, 299.83319091796875, 92.610107421875, 188.64041137695312], 'conf': 0.7666405, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9940119385719299, 'id': 6}, {'box': [94.65200805664062, 636.0728759765625, 157.89889526367188, 288.8268737792969], 'conf': 0.8053296, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9961116909980774, 'id': 7}, {'box': [499.9784240722656, 502.4472961425781, 114.20941162109375, 321.38031005859375], 'conf': 0.7482561, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9313234090805054, 'id': 8}, {'box': [185.34730529785156, 558.265380859375, 109.51071166992188, 240.3404541015625], 'conf': 0.70130676, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9521987438201904, 'id': 9}, {'box': [1117.001953125, 248.02955627441406, 115.1614990234375, 240.63186645507812], 'conf': 0.48091593, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9994885921478271, 'id': 10}, {'box': [1831.895751953125, 575.1724243164062, 107.8154296875, 203.92227172851562], 'conf': 0.63450867, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9998087286949158, 'id': 11}, {'box': [400.4058837890625, 540.679931640625, 97.79306030273438, 247.75991821289062], 'conf': 0.65387934, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9893976449966431, 'id': 12}, {'box': [1341.817138671875, 430.2281494140625, 103.7325439453125, 231.537109375], 'conf': 0.800095, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9986540079116821, 'id': 13}]"
4,2024/5/22 Wednesday 0:0:0,"[{'box': [1265.21728515625, 444.18115234375, 97.0950927734375, 281.5611572265625], 'conf': 0.8520804, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9996669292449951, 'id': 1}, {'box': [270.6500549316406, 552.8316040039062, 126.91658020019531, 272.1728515625], 'conf': 0.86918104, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999876022338867, 'id': 2}, {'box': [1545.4659423828125, 511.29766845703125, 141.751220703125, 247.5928955078125], 'conf': 0.8762023, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9889110326766968, 'id': 3}, {'box': [1655.8438720703125, 581.6378173828125, 154.46630859375, 262.16644287109375], 'conf': 0.8526736, 'label_id': 'person', 'sub_labels': 'cashier', 'sub_labels_conf': 0.5238879323005676, 'id': 4}, {'box': [332.60211181640625, 560.351318359375, 102.24197387695312, 242.95645141601562], 'conf': 0.80374324, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9979311227798462, 'id': 5}, {'box': [1194.108642578125, 299.1253356933594, 91.9554443359375, 188.99560546875], 'conf': 0.73977137, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9972398281097412, 'id': 6}, {'box': [94.49309539794922, 635.76806640625, 157.8460235595703, 288.71209716796875], 'conf': 0.8032003, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9980175495147705, 'id': 7}, {'box': [500.5743103027344, 502.6545715332031, 115.16998291015625, 320.67535400390625], 'conf': 0.75330245, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9064863920211792, 'id': 8}, {'box': [185.93060302734375, 558.0953979492188, 110.77688598632812, 240.66207885742188], 'conf': 0.71697235, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9171669483184814, 'id': 9}, {'box': [1116.86767578125, 248.00318908691406, 114.6380615234375, 241.04525756835938], 'conf': 0.57637554, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9995658993721008, 'id': 10}, {'box': [1833.10009765625, 574.455810546875, 104.8594970703125, 204.46701049804688], 'conf': 0.58659387, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999792575836182, 'id': 11}, {'box': [400.01318359375, 540.377197265625, 97.99746704101562, 248.09307861328125], 'conf': 0.62385076, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.987291157245636, 'id': 12}, {'box': [1336.983154296875, 429.52349853515625, 113.9844970703125, 234.8895263671875], 'conf': 0.743086, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9969327449798584, 'id': 13}]"
5,2024/5/22 Wednesday 0:0:0,"[{'box': [1259.788818359375, 443.7099609375, 95.0933837890625, 282.9598693847656], 'conf': 0.8503341, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9992669224739075, 'id': 1}, {'box': [270.6953430175781, 552.759765625, 127.07460021972656, 272.26654052734375], 'conf': 0.86877644, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999812841415405, 'id': 2}, {'box': [1541.251953125, 511.9698791503906, 138.2637939453125, 250.38031005859375], 'conf': 0.85428274, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9938166737556458, 'id': 3}, {'box': [1647.879638671875, 583.0388793945312, 152.9024658203125, 261.9565734863281], 'conf': 0.84697944, 'label_id': 'person', 'sub_labels': 'cashier', 'sub_labels_conf': 0.5740770697593689, 'id': 4}, {'box': [332.25372314453125, 560.0810546875, 101.46682739257812, 243.17864990234375], 'conf': 0.7857385, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9985960125923157, 'id': 5}, {'box': [1194.4427490234375, 297.97723388671875, 91.74560546875, 190.71511840820312], 'conf': 0.6990128, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9975615739822388, 'id': 6}, {'box': [94.38841247558594, 635.8304443359375, 157.65853881835938, 288.24859619140625], 'conf': 0.80264974, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9975242018699646, 'id': 7}, {'box': [500.22412109375, 502.395751953125, 115.091552734375, 321.4677429199219], 'conf': 0.7850711, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9120756387710571, 'id': 8}, {'box': [185.5032196044922, 558.1362915039062, 109.72128295898438, 241.0128173828125], 'conf': 0.7325269, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9429430365562439, 'id': 9}, {'box': [1116.9267578125, 248.27703857421875, 114.4957275390625, 241.84185791015625], 'conf': 0.46193537, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9995971322059631, 'id': 10}, {'box': [1833.614990234375, 570.5626220703125, 97.584228515625, 205.11773681640625], 'conf': 0.7333912, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999427795410156, 'id': 11}, {'box': [400.65277099609375, 539.4068603515625, 97.22085571289062, 250.42196655273438], 'conf': 0.7620031, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9709575176239014, 'id': 12}, {'box': [1337.30419921875, 427.26812744140625, 101.895751953125, 238.19992065429688], 'conf': 0.77979887, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9930461049079895, 'id': 13}]"
6,2024/5/22 Wednesday 0:0:0,"[{'box': [1250.8720703125, 442.5830383300781, 101.0909423828125, 284.49456787109375], 'conf': 0.86611414, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9989365935325623, 'id': 1}, {'box': [270.6750793457031, 552.6685180664062, 127.11195373535156, 272.4625549316406], 'conf': 0.86832714, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.999981164932251, 'id': 2}, {'box': [1537.41748046875, 510.744873046875, 132.4053955078125, 251.37850952148438], 'conf': 0.838881, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9809640645980835, 'id': 3}, {'box': [1642.193359375, 582.7800903320312, 149.910888671875, 261.1375427246094], 'conf': 0.86710054, 'label_id': 'person', 'sub_labels': 'cashier', 'sub_labels_conf': 0.6380593180656433, 'id': 4}, {'box': [332.03216552734375, 560.0526733398438, 101.1051025390625, 243.3629150390625], 'conf': 0.79128736, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9985610842704773, 'id': 5}, {'box': [1194.942626953125, 298.00738525390625, 92.83349609375, 192.16299438476562], 'conf': 0.7065689, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.997261643409729, 'id': 6}, {'box': [94.33942413330078, 636.1002807617188, 157.5838165283203, 287.2548522949219], 'conf': 0.80049616, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9948780536651611, 'id': 7}, {'box': [500.18206787109375, 502.3445129394531, 114.96261596679688, 322.24884033203125], 'conf': 0.78142345, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9181395769119263, 'id': 8}, {'box': [185.16156005859375, 558.1554565429688, 109.26515197753906, 241.07351684570312], 'conf': 0.72815835, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9401705861091614, 'id': 9}, {'box': [1116.678955078125, 248.57894897460938, 114.1273193359375, 241.984375], 'conf': 0.53826165, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9996281862258911, 'id': 10}, {'box': [1834.7850341796875, 568.4735107421875, 100.44970703125, 205.51651000976562], 'conf': 0.7057709, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999891519546509, 'id': 11}, {'box': [401.189697265625, 539.355224609375, 95.94705200195312, 250.91598510742188], 'conf': 0.75738704, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9746631383895874, 'id': 12}, {'box': [1337.601806640625, 424.6554260253906, 96.4530029296875, 238.83453369140625], 'conf': 0.8078819, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9863660335540771, 'id': 13}]"
7,2024/5/22 Wednesday 0:0:0,"[{'box': [1244.730224609375, 441.9960021972656, 105.0836181640625, 285.87677001953125], 'conf': 0.86330616, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9982732534408569, 'id': 1}, {'box': [270.61474609375, 552.6741333007812, 127.30259704589844, 272.4758605957031], 'conf': 0.8699345, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999814033508301, 'id': 2}, {'box': [1534.472900390625, 508.445556640625, 126.7313232421875, 248.4317626953125], 'conf': 0.80427545, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9079863429069519, 'id': 3}, {'box': [1637.891357421875, 582.6290283203125, 146.0277099609375, 260.4822998046875], 'conf': 0.8789938, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.5100917220115662, 'id': 4}, {'box': [331.9981384277344, 560.094482421875, 100.5614013671875, 243.22125244140625], 'conf': 0.80459225, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9982536435127258, 'id': 5}, {'box': [1195.2158203125, 298.64422607421875, 91.7978515625, 193.65206909179688], 'conf': 0.6952697, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9971401691436768, 'id': 6}, {'box': [93.85929107666016, 635.8654174804688, 156.6128387451172, 286.1324157714844], 'conf': 0.7834183, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9975829124450684, 'id': 7}, {'box': [499.6274719238281, 500.98907470703125, 113.79266357421875, 322.105224609375], 'conf': 0.78283644, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.937614381313324, 'id': 8}, {'box': [185.76451110839844, 558.3456420898438, 110.390869140625, 240.782958984375], 'conf': 0.738197, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9201004505157471, 'id': 9}, {'box': [1116.0048828125, 248.86395263671875, 112.9625244140625, 242.1441650390625], 'conf': 0.4294208, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9997753500938416, 'id': 10}, {'box': [1828.15380859375, 567.6952514648438, 99.858642578125, 208.37496948242188], 'conf': 0.75718766, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999699592590332, 'id': 11}, {'box': [401.4580993652344, 540.4921264648438, 98.3804931640625, 250.9761962890625], 'conf': 0.73245835, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9760639667510986, 'id': 12}, {'box': [1334.32470703125, 423.666748046875, 95.0999755859375, 241.8182373046875], 'conf': 0.8462062, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9855911731719971, 'id': 13}]"
8,2024/5/22 Wednesday 0:0:0,"[{'box': [1236.7161865234375, 441.79473876953125, 111.5869140625, 286.8421630859375], 'conf': 0.86214465, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9986857771873474, 'id': 1}, {'box': [270.7236328125, 552.5546264648438, 127.42669677734375, 272.80859375], 'conf': 0.86489534, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.999980092048645, 'id': 2}, {'box': [1532.259521484375, 504.29937744140625, 120.276123046875, 245.73446655273438], 'conf': 0.8306105, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9915846586227417, 'id': 3}, {'box': [1634.167724609375, 582.1805419921875, 140.4423828125, 260.5027770996094], 'conf': 0.87071407, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.6111425161361694, 'id': 4}, {'box': [332.265869140625, 560.0357666015625, 100.82821655273438, 243.1416015625], 'conf': 0.8141796, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9989045858383179, 'id': 5}, {'box': [1194.950927734375, 298.5740051269531, 91.3939208984375, 197.15753173828125], 'conf': 0.73657, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9953117370605469, 'id': 6}, {'box': [93.4246597290039, 635.4036865234375, 154.9699249267578, 286.4901123046875], 'conf': 0.78965145, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9979706406593323, 'id': 7}, {'box': [500.5107116699219, 501.4886779785156, 114.80975341796875, 321.44134521484375], 'conf': 0.7719614, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9404808878898621, 'id': 8}, {'box': [185.3461151123047, 558.7684936523438, 109.64987182617188, 239.86471557617188], 'conf': 0.75256336, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9343436360359192, 'id': 9}, {'box': [1115.835693359375, 248.933349609375, 112.9254150390625, 242.5669403076172], 'conf': 0.33865792, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9997813105583191, 'id': 10}, {'box': [1822.92626953125, 567.8284912109375, 102.20458984375, 209.24032592773438], 'conf': 0.70123583, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999710321426392, 'id': 11}, {'box': [400.2808837890625, 518.1233520507812, 102.78067016601562, 295.5238342285156], 'conf': 0.66993076, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9791926145553589, 'id': 12}, {'box': [1325.12646484375, 423.41986083984375, 106.52783203125, 243.57003784179688], 'conf': 0.81241965, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9919379353523254, 'id': 13}]"
9,2024/5/22 Wednesday 0:0:0,"[{'box': [1228.4774169921875, 441.4049072265625, 116.976318359375, 288.0779724121094], 'conf': 0.85012084, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9984005093574524, 'id': 1}, {'box': [270.764892578125, 552.5042114257812, 127.64743041992188, 272.7458801269531], 'conf': 0.86402243, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999833106994629, 'id': 2}, {'box': [1530.5972900390625, 500.841796875, 116.406005859375, 249.1986083984375], 'conf': 0.74218464, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9896161556243896, 'id': 3}, {'box': [1632.221435546875, 580.1175537109375, 135.54248046875, 265.04803466796875], 'conf': 0.857697, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.7332139015197754, 'id': 4}, {'box': [332.3563232421875, 559.9364013671875, 100.87039184570312, 243.62640380859375], 'conf': 0.81387234, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9989903569221497, 'id': 5}, {'box': [1194.858642578125, 297.94061279296875, 90.838623046875, 198.0454864501953], 'conf': 0.73993194, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9948340654373169, 'id': 6}, {'box': [92.9946060180664, 636.5481567382812, 152.48646545410156, 285.1298522949219], 'conf': 0.78362566, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9973891377449036, 'id': 7}, {'box': [499.525634765625, 500.71234130859375, 113.84390258789062, 321.4217834472656], 'conf': 0.7777219, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9420880079269409, 'id': 8}, {'box': [185.26904296875, 558.5884399414062, 109.75080871582031, 240.31509399414062], 'conf': 0.75254434, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.940266489982605, 'id': 9}, {'box': [1115.959716796875, 249.2355499267578, 113.0489501953125, 242.69308471679688], 'conf': 0.21766968, 'label_id': 'refrigerator', 'sub_labels': 'other', 'sub_labels_conf': 0.9997785687446594, 'id': 10}, {'box': [1812.794677734375, 568.0076904296875, 104.1815185546875, 207.30764770507812], 'conf': 0.6920392, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9999191761016846, 'id': 11}, {'box': [400.61810302734375, 531.3153076171875, 103.87457275390625, 268.86138916015625], 'conf': 0.69312525, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9843887090682983, 'id': 12}, {'box': [1319.1181640625, 423.5013427734375, 108.6568603515625, 245.28466796875], 'conf': 0.79110277, 'label_id': 'person', 'sub_labels': 'other', 'sub_labels_conf': 0.9930985569953918, 'id': 13}]"
