frame_number,region_name,people_count
0,atm,0
0,entrance,1
1,atm,0
1,entrance,1
2,atm,1
2,entrance,1
3,atm,1
3,entrance,1
4,atm,1
4,entrance,1
5,atm,1
5,entrance,1
6,atm,1
6,entrance,1
7,atm,1
7,entrance,1
8,atm,1
8,entrance,1
9,atm,1
9,entrance,1
10,atm,1
10,entrance,1
11,atm,1
11,entrance,1
12,atm,1
12,entrance,1
13,atm,1
13,entrance,1
14,atm,1
14,entrance,1
15,atm,1
15,entrance,1
16,atm,1
16,entrance,1
17,atm,1
17,entrance,1
18,atm,1
18,entrance,1
19,atm,2
19,entrance,1
20,atm,2
20,entrance,1
21,atm,2
21,entrance,1
22,atm,2
22,entrance,1
23,atm,2
23,entrance,1
24,atm,2
24,entrance,1
25,atm,2
25,entrance,1
26,atm,2
26,entrance,1
27,atm,2
27,entrance,1
28,atm,2
28,entrance,1
29,atm,2
29,entrance,1
30,atm,1
30,entrance,1
31,atm,1
31,entrance,1
32,atm,1
32,entrance,1
33,atm,1
33,entrance,1
34,atm,1
34,entrance,1
35,atm,1
35,entrance,1
36,atm,2
36,entrance,1
37,atm,2
37,entrance,1
38,atm,2
38,entrance,1
39,atm,2
39,entrance,1
40,atm,2
40,entrance,1
41,atm,2
41,entrance,1
42,atm,2
42,entrance,1
43,atm,1
43,entrance,1
44,atm,2
44,entrance,1
45,atm,2
45,entrance,1
46,atm,2
46,entrance,1
47,atm,2
47,entrance,1
48,atm,2
48,entrance,1
49,atm,2
49,entrance,1
50,atm,2
50,entrance,1
51,atm,2
51,entrance,1
52,atm,2
52,entrance,1
53,atm,2
53,entrance,1
54,atm,2
54,entrance,1
55,atm,2
55,entrance,1
56,atm,2
56,entrance,1
57,atm,2
57,entrance,1
58,atm,2
58,entrance,1
59,atm,1
59,entrance,1
60,atm,2
60,entrance,1
61,atm,2
61,entrance,1
62,atm,2
62,entrance,1
63,atm,2
63,entrance,1
64,atm,2
64,entrance,1
65,atm,2
65,entrance,1
66,atm,2
66,entrance,1
67,atm,2
67,entrance,1
68,atm,2
68,entrance,1
69,atm,2
69,entrance,1
70,atm,2
70,entrance,1
71,atm,1
71,entrance,1
72,atm,1
72,entrance,1
73,atm,1
73,entrance,1
74,atm,1
74,entrance,1
75,atm,1
75,entrance,1
76,atm,1
76,entrance,1
77,atm,1
77,entrance,1
78,atm,1
78,entrance,1
79,atm,1
79,entrance,1
80,atm,1
80,entrance,1
81,atm,1
81,entrance,1
82,atm,1
82,entrance,1
83,atm,1
83,entrance,1
84,atm,1
84,entrance,1
85,atm,1
85,entrance,1
86,atm,1
86,entrance,1
87,atm,1
87,entrance,1
88,atm,1
