frame_number,region_name,people_count
88,entrance,1
89,atm,1
89,entrance,1
90,atm,1
90,entrance,1
91,atm,1
91,entrance,1
92,atm,1
92,entrance,1
93,atm,1
93,entrance,1
94,atm,1
94,entrance,1
95,atm,1
95,entrance,1
96,atm,1
96,entrance,1
97,atm,2
97,entrance,1
98,atm,2
98,entrance,1
99,atm,2
99,entrance,1
100,atm,2
100,entrance,1
101,atm,2
101,entrance,1
102,atm,2
102,entrance,1
103,atm,2
103,entrance,1
104,atm,2
104,entrance,1
105,atm,1
105,entrance,1
106,atm,1
106,entrance,1
107,atm,1
107,entrance,1
108,atm,1
108,entrance,1
109,atm,1
109,entrance,1
110,atm,1
110,entrance,1
111,atm,1
111,entrance,1
112,atm,1
112,entrance,1
113,atm,2
113,entrance,1
114,atm,2
114,entrance,1
115,atm,2
115,entrance,1
116,atm,2
116,entrance,1
117,atm,2
117,entrance,1
118,atm,2
118,entrance,1
119,atm,2
119,entrance,1
120,atm,2
120,entrance,1
121,atm,1
121,entrance,1
122,atm,1
122,entrance,1
123,atm,1
123,entrance,1
124,atm,1
124,entrance,1
125,atm,1
125,entrance,1
126,atm,1
126,entrance,1
127,atm,1
127,entrance,1
128,atm,1
128,entrance,1
129,atm,1
129,entrance,1
130,atm,1
130,entrance,1
131,atm,1
131,entrance,1
132,atm,1
132,entrance,1
133,atm,1
133,entrance,1
134,atm,1
134,entrance,1
135,atm,1
135,entrance,1
136,atm,1
136,entrance,1
137,atm,1
137,entrance,1
138,atm,1
138,entrance,1
139,atm,1
139,entrance,1
140,atm,1
140,entrance,1
141,atm,1
141,entrance,1
142,atm,1
142,entrance,1
143,atm,1
143,entrance,1
144,atm,1
144,entrance,1
145,atm,1
145,entrance,1
146,atm,1
146,entrance,1
147,atm,1
147,entrance,1
148,atm,1
148,entrance,1
149,atm,1
149,entrance,1
150,atm,1
150,entrance,1
151,atm,1
151,entrance,1
152,atm,1
152,entrance,1
153,atm,1
153,entrance,1
154,atm,1
154,entrance,1
155,atm,1
155,entrance,1
156,atm,1
156,entrance,1
157,atm,1
157,entrance,1
158,atm,1
158,entrance,1
159,atm,1
159,entrance,1
160,atm,1
160,entrance,1
161,atm,1
161,entrance,1
162,atm,1
162,entrance,1
163,atm,1
163,entrance,1
164,atm,1
164,entrance,1
165,atm,1
165,entrance,1
166,atm,1
166,entrance,1
167,atm,1
167,entrance,1
168,atm,1
168,entrance,1
169,atm,1
169,entrance,1
170,atm,1
170,entrance,1
171,atm,1
171,entrance,1
172,atm,1
172,entrance,1
173,atm,1
173,entrance,1
174,atm,1
174,entrance,2
175,atm,1
175,entrance,1
176,atm,1
176,entrance,1
177,atm,1
177,entrance,1
178,atm,1
178,entrance,1
179,atm,1
179,entrance,1
180,atm,1
180,entrance,1
181,atm,1
181,entrance,1
182,atm,1
182,entrance,1
183,atm,1
183,entrance,1
184,atm,1
184,entrance,1
185,atm,1
185,entrance,1
186,atm,1
186,entrance,1
187,atm,1
187,entrance,1
188,atm,1
188,entrance,1
189,atm,1
189,entrance,1
190,atm,1
190,entrance,2
191,atm,1
191,entrance,2
192,atm,1
192,entrance,2
193,atm,1
193,entrance,2
194,atm,1
194,entrance,2
195,atm,1
195,entrance,2
196,atm,1
196,entrance,2
197,atm,1
197,entrance,2
198,atm,1
198,entrance,2
199,atm,1
199,entrance,2
200,atm,1
200,entrance,2
201,atm,1
201,entrance,2
202,atm,1
202,entrance,2
203,atm,1
203,entrance,2
204,atm,1
204,entrance,2
205,atm,1
205,entrance,2
206,atm,1
206,entrance,2
207,atm,1
207,entrance,2
208,atm,1
208,entrance,2
209,atm,1
209,entrance,2
210,atm,1
210,entrance,2
211,atm,1
211,entrance,2
212,atm,1
212,entrance,2
213,atm,1
213,entrance,2
214,atm,1
214,entrance,2
215,atm,1
215,entrance,2
216,atm,1
216,entrance,2
217,atm,1
217,entrance,2
218,atm,1
218,entrance,2
219,atm,1
219,entrance,2
220,atm,1
220,entrance,2
221,atm,1
221,entrance,2
222,atm,1
222,entrance,2
223,atm,1
223,entrance,1
224,atm,1
224,entrance,1
225,atm,1
225,entrance,1
226,atm,1
226,entrance,1
227,atm,1
227,entrance,1
228,atm,1
228,entrance,1
229,atm,1
229,entrance,2
230,atm,1
230,entrance,2
231,atm,1
231,entrance,2
232,atm,1
232,entrance,2
233,atm,1
233,entrance,2
234,atm,1
234,entrance,2
235,atm,1
235,entrance,2
236,atm,1
236,entrance,2
237,atm,1
237,entrance,2
238,atm,1
238,entrance,2
239,atm,1
239,entrance,2
240,atm,1
240,entrance,2
241,atm,1
241,entrance,2
242,atm,1
242,entrance,2
243,atm,1
243,entrance,2
244,atm,1
244,entrance,2
245,atm,1
245,entrance,2
246,atm,1
246,entrance,2
247,atm,1
247,entrance,2
248,atm,1
248,entrance,2
249,atm,1
249,entrance,2
250,atm,1
250,entrance,1
251,atm,1
251,entrance,1
252,atm,1
252,entrance,1
253,atm,1
253,entrance,1
254,atm,1
254,entrance,1
255,atm,1
255,entrance,1
256,atm,1
256,entrance,1
257,atm,1
257,entrance,1
258,atm,1
258,entrance,1
259,atm,1
259,entrance,1
260,atm,1
260,entrance,1
261,atm,1
261,entrance,1
262,atm,1
262,entrance,1
263,atm,1
263,entrance,2
264,atm,1
264,entrance,3
265,atm,1
265,entrance,3
266,atm,1
266,entrance,3
267,atm,1
267,entrance,3
268,atm,1
268,entrance,3
269,atm,1
269,entrance,3
270,atm,1
270,entrance,3
271,atm,1
271,entrance,3
272,atm,1
272,entrance,3
273,atm,1
273,entrance,3
274,atm,1
274,entrance,3
275,atm,1
275,entrance,3
276,atm,1
276,entrance,3
