frame_number,box_x,box_y,box_w,box_h,conf,label,user_id,region
11,1527,498,106,250,0.69490397,person,3,
11,1627,575,123,269,0.80188185,person,4,
11,332,560,100,243,0.80653983,person,5,
11,1193,297,90,200,0.77433515,person,6,
11,93,637,150,284,0.7760336,person,7,
11,499,500,113,320,0.77343565,person,8,entrance
11,184,558,108,240,0.7340262,person,9,
11,1800,565,118,209,0.67389,person,11,
11,401,538,102,254,0.7483338,person,12,
11,1317,415,88,238,0.7622435,person,13,
11,1619,356,97,182,0.60520244,person,15,
12,1208,438,117,293,0.86908823,person,1,atm
12,270,551,128,274,0.8685353,person,2,
12,1530,497,109,251,0.4945363,person,3,
12,1624,574,120,271,0.6919712,person,4,
12,332,560,101,243,0.80731463,person,5,
12,1193,294,86,196,0.74680996,person,6,
12,93,637,150,284,0.775377,person,7,
12,499,500,113,319,0.7701594,person,8,entrance
12,184,558,107,240,0.7347742,person,9,
12,1794,562,112,215,0.6144412,person,11,
12,401,539,101,254,0.74104965,person,12,
12,1313,411,82,233,0.729242,person,13,
12,1620,357,99,185,0.6801043,person,15,
13,1206,436,116,293,0.8532248,person,1,atm
13,270,551,128,274,0.8658257,person,2,
13,1525,496,100,253,0.6718886,person,3,
13,1622,574,117,274,0.6333165,person,4,
13,332,560,102,243,0.8043121,person,5,
13,1192,296,86,201,0.71663076,person,6,
13,92,637,150,283,0.77126557,person,7,
13,499,500,114,319,0.7614116,person,8,entrance
13,184,558,108,240,0.7330051,person,9,
13,1789,562,110,216,0.79037017,person,11,
13,402,539,101,253,0.7661718,person,12,
13,1308,409,76,234,0.73133916,person,13,
13,1618,361,102,193,0.71916354,person,15,
14,1204,433,111,293,0.86177725,person,1,atm
14,270,551,127,274,0.86712736,person,2,
14,1522,498,98,250,0.7683027,person,3,
14,1621,574,114,275,0.8383926,person,4,
14,333,560,102,243,0.80520314,person,5,
14,1191,296,88,201,0.73262125,person,6,
14,93,638,149,282,0.7822186,person,7,
14,500,501,116,319,0.7575982,person,8,entrance
14,184,558,108,239,0.73795086,person,9,
14,1779,561,113,216,0.77840626,person,11,
14,401,539,102,253,0.7605147,person,12,
14,1301,407,71,232,0.7666272,person,13,
14,1618,362,105,194,0.64193857,person,15,
15,1200,428,104,288,0.8465905,person,1,atm
15,271,551,128,274,0.8679047,person,2,
15,1518,495,100,255,0.8130465,person,3,
15,1617,572,113,280,0.83349824,person,4,
15,333,560,102,242,0.80782956,person,5,
15,1193,295,85,198,0.6593316,person,6,
15,93,639,150,286,0.8052526,person,7,
15,499,500,116,320,0.7472295,person,8,entrance
15,183,557,108,241,0.7547437,person,9,
15,1778,559,109,219,0.7414332,person,11,
15,402,539,102,253,0.7924275,person,12,
15,1297,404,72,231,0.78439516,person,13,
15,1617,361,109,193,0.6458762,person,15,
16,1202,430,104,291,0.8217476,person,1,atm
16,271,551,128,274,0.86783826,person,2,
16,1511,496,113,255,0.7469866,person,3,
16,1609,571,117,279,0.75946337,person,4,
16,333,559,103,242,0.81076694,person,5,
16,1195,293,79,194,0.61098456,person,6,
16,94,639,151,286,0.8030446,person,7,
16,499,499,115,320,0.75794804,person,8,entrance
16,183,557,108,242,0.74866825,person,9,
16,1774,556,105,222,0.7285715,person,11,
16,402,539,101,253,0.790716,person,12,
16,1292,404,74,231,0.7653101,person,13,
16,1617,361,110,194,0.5815023,person,15,
17,1203,424,103,280,0.8275398,person,1,atm
17,271,551,128,274,0.8690352,person,2,
17,1498,493,117,260,0.62846935,person,3,
17,1593,569,136,284,0.79942495,person,4,
17,333,559,105,242,0.82206875,person,5,
17,1198,274,73,158,0.5807437,person,6,
17,94,638,151,288,0.8049171,person,7,
17,499,500,115,320,0.7592337,person,8,entrance
17,183,557,108,242,0.7469833,person,9,
17,1770,553,103,223,0.65236336,person,11,
17,402,539,99,253,0.76451874,person,12,
17,1285,403,81,230,0.7485537,person,13,
17,1617,361,110,195,0.5410302,person,15,
18,1202,418,106,268,0.8441686,person,1,atm
18,271,551,128,275,0.87047106,person,2,
18,1479,491,138,266,0.7637727,person,3,
18,1580,566,149,287,0.5469633,person,4,
18,334,559,106,241,0.8316776,person,5,
18,1199,265,71,139,0.63775915,person,6,
18,94,637,151,289,0.8098957,person,7,
18,499,500,115,319,0.74856806,person,8,entrance
18,182,557,105,241,0.7603075,person,9,
18,1766,549,101,222,0.55964017,person,11,
18,403,538,98,253,0.747162,person,12,
18,1280,401,76,229,0.68049186,person,13,
18,1617,362,109,195,0.54751486,person,15,
19,1191,415,98,258,0.7002001,person,1,atm
19,271,551,128,275,0.87022865,person,2,
19,1470,490,137,267,0.7984246,person,3,
19,1568,568,158,285,0.8665675,person,4,
19,334,559,106,241,0.83466893,person,5,
19,1199,259,71,129,0.7562697,person,6,
19,94,637,151,289,0.8095349,person,7,
19,499,501,116,318,0.7542022,person,8,entrance
19,181,557,102,240,0.76557297,person,9,
19,1764,546,99,220,0.65723455,person,11,
19,404,537,100,253,0.7560619,person,12,
19,1270,401,87,228,0.3396889,person,13,atm
19,1618,362,112,195,0.48214033,person,15,
20,1180,412,92,257,0.77560514,person,1,atm
20,271,551,128,275,0.8704624,person,2,
20,1467,487,128,273,0.7506262,person,3,
20,1560,567,162,288,0.8602675,person,4,
20,334,559,107,241,0.8441076,person,5,
20,1200,254,71,120,0.6995822,person,6,
20,94,637,152,288,0.8075909,person,7,
20,499,501,116,318,0.75553656,person,8,entrance
20,181,557,101,239,0.7623001,person,9,
20,1765,544,95,220,0.72826153,person,11,
20,405,537,100,253,0.749476,person,12,
20,1267,400,83,230,0.6929629,person,13,atm
20,1628,362,134,195,0.5448542,person,15,
21,1170,409,90,258,0.81920147,person,1,atm
21,271,551,128,275,0.8693438,person,2,
21,1465,486,117,274,0.78757954,person,3,
21,1553,566,162,288,0.8573081,person,4,
21,334,559,107,241,0.8416362,person,5,
21,1200,251,71,114,0.71418315,person,6,
21,94,637,152,288,0.809667,person,7,
21,500,501,116,318,0.7539807,person,8,entrance
21,180,557,100,239,0.7667032,person,9,
21,1766,541,93,220,0.82841164,person,11,
21,405,537,100,253,0.7320588,person,12,
21,1263,399,86,231,0.66065246,person,13,atm
21,1632,360,145,191,0.64197147,person,15,
22,1162,407,93,261,0.84258276,person,1,atm
