frame_number,frame_time,results
10,2024/5/22 Wednesday 0:0:1,"[{'box': [472.39312744140625, 194.5853271484375, 46.9339599609375, 90.24430847167969], 'conf': 0.9106485, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.56982421875, 328.19000244140625, 33.712158203125, 53.29522705078125], 'conf': 0.82574993, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.4471435546875, 304.2731018066406, 203.8876953125, 76.66387939453125], 'conf': 0.75138634, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.8651123046875, 244.769775390625, 64.5234375, 46.27171325683594], 'conf': 0.4787571, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.052490234375, 59.82147979736328, 205.56900024414062, 118.07231140136719], 'conf': 0.5799492, 'label_id': 'tv', 'sub_labels': 'not_human', 'sub_labels_conf': 0.42882001399993896, 'id': 5}, {'box': [431.3807678222656, 313.99725341796875, 333.09991455078125, 172.7691192626953], 'conf': 0.60174274, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}]"
11,2024/5/22 Wednesday 0:0:1,"[{'box': [472.407470703125, 194.5611572265625, 46.9935302734375, 90.35337829589844], 'conf': 0.911926, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5694580078125, 328.18658447265625, 33.73626708984375, 53.30279541015625], 'conf': 0.8084289, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.44097900390625, 304.2620849609375, 203.86434936523438, 76.71615600585938], 'conf': 0.7530678, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.9085693359375, 244.78445434570312, 64.44720458984375, 46.28953552246094], 'conf': 0.5682823, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [544.8751220703125, 59.77008819580078, 205.20474243164062, 117.92160034179688], 'conf': 0.58966863, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.4832594394683838, 'id': 5}, {'box': [431.5306396484375, 314.1302490234375, 333.2212219238281, 172.58087158203125], 'conf': 0.6371718, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}]"
12,2024/5/22 Wednesday 0:0:1,"[{'box': [472.4176025390625, 194.56777954101562, 46.9764404296875, 90.31837463378906], 'conf': 0.91044176, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5904541015625, 328.162353515625, 33.74078369140625, 53.246429443359375], 'conf': 0.8339143, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.38751220703125, 304.24066162109375, 203.94717407226562, 76.66049194335938], 'conf': 0.764022, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.863037109375, 244.89370727539062, 64.5802001953125, 46.16429138183594], 'conf': 0.45353672, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [544.9916381835938, 59.8931884765625, 205.46484375, 118.23614501953125], 'conf': 0.59592944, 'label_id': 'tv', 'sub_labels': 'not_human', 'sub_labels_conf': 0.4698181748390198, 'id': 5}, {'box': [431.562744140625, 314.0841064453125, 333.0545959472656, 172.50949096679688], 'conf': 0.5891768, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}]"
13,2024/5/22 Wednesday 0:0:1,"[{'box': [472.4206237792969, 194.60177612304688, 46.96551513671875, 90.2388916015625], 'conf': 0.90799963, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5989990234375, 328.14776611328125, 33.7239990234375, 53.240814208984375], 'conf': 0.8319432, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.4046325683594, 304.20977783203125, 203.72967529296875, 76.57846069335938], 'conf': 0.7592281, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.882080078125, 244.83651733398438, 64.49163818359375, 46.197998046875], 'conf': 0.577373, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.1299438476562, 60.51967239379883, 205.6414794921875, 119.47122955322266], 'conf': 0.6234811, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6334521770477295, 'id': 5}, {'box': [431.53741455078125, 314.0353088378906, 333.4281005859375, 172.19606018066406], 'conf': 0.6378505, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}, {'box': [827.71533203125, 326.3028564453125, 260.06768798828125, 82.53701782226562], 'conf': 0.6259595, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9912363290786743, 'id': 7}]"
14,2024/5/22 Wednesday 0:0:1,"[{'box': [472.41094970703125, 194.66055297851562, 46.887237548828125, 90.13200378417969], 'conf': 0.90510106, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.606689453125, 328.1408386230469, 33.6998291015625, 53.1761474609375], 'conf': 0.8384966, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.34814453125, 304.2845764160156, 203.93807983398438, 76.5234375], 'conf': 0.7742627, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.88916015625, 244.93247985839844, 64.46795654296875, 46.128631591796875], 'conf': 0.6557307, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.2728271484375, 60.74016571044922, 205.86309814453125, 119.87565612792969], 'conf': 0.6255218, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6334521770477295, 'id': 5}, {'box': [431.43194580078125, 313.9443054199219, 333.3486022949219, 172.1101837158203], 'conf': 0.5184477, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}, {'box': [823.149658203125, 331.02996826171875, 268.49676513671875, 92.63421630859375], 'conf': 0.8015511, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9840100407600403, 'id': 7}]"
15,2024/5/22 Wednesday 0:0:1,"[{'box': [472.4228515625, 194.64976501464844, 46.903228759765625, 90.12979125976562], 'conf': 0.9059235, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5658569335938, 328.2074279785156, 33.4608154296875, 53.23028564453125], 'conf': 0.8159008, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.3240661621094, 304.32525634765625, 203.93695068359375, 76.53256225585938], 'conf': 0.77709085, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.894287109375, 244.9897003173828, 64.46881103515625, 46.071929931640625], 'conf': 0.6931203, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.2862548828125, 60.81934356689453, 205.90567016601562, 120.01722717285156], 'conf': 0.61904514, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6786680221557617, 'id': 5}, {'box': [431.4603576660156, 314.024169921875, 333.46759033203125, 172.12661743164062], 'conf': 0.6525462, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}, {'box': [811.4087524414062, 334.7999572753906, 291.4405517578125, 100.4923095703125], 'conf': 0.8318307, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9857109189033508, 'id': 7}]"
16,2024/5/22 Wednesday 0:0:1,"[{'box': [472.429443359375, 194.647216796875, 46.932037353515625, 90.12657165527344], 'conf': 0.90664315, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5975341796875, 328.14605712890625, 33.57476806640625, 53.130462646484375], 'conf': 0.8502843, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.3047180175781, 304.29345703125, 203.930908203125, 76.47055053710938], 'conf': 0.7853012, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.908935546875, 244.9758758544922, 64.4571533203125, 46.054290771484375], 'conf': 0.6884219, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.2130737304688, 60.82740783691406, 205.74539184570312, 120.05058288574219], 'conf': 0.6419493, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6786680221557617, 'id': 5}, {'box': [431.46685791015625, 313.79888916015625, 333.0263671875, 171.31163024902344], 'conf': 0.6186148, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.999998927116394, 'id': 6}, {'box': [807.7890625, 335.5877685546875, 298.16241455078125, 102.27700805664062], 'conf': 0.8415859, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9912332892417908, 'id': 7}]"
17,2024/5/22 Wednesday 0:0:1,"[{'box': [472.4329833984375, 194.63719177246094, 46.938629150390625, 90.13232421875], 'conf': 0.9066568, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.6041259765625, 328.1290283203125, 33.5592041015625, 53.0872802734375], 'conf': 0.8442969, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.3874206542969, 304.3072509765625, 203.8824462890625, 76.40603637695312], 'conf': 0.77640796, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.900390625, 244.9495849609375, 64.46710205078125, 46.02796936035156], 'conf': 0.6704202, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.2042236328125, 60.77605056762695, 205.73513793945312, 119.96247100830078], 'conf': 0.6221159, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6334521770477295, 'id': 5}, {'box': [431.2624816894531, 313.51019287109375, 333.15802001953125, 171.14044189453125], 'conf': 0.52763885, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999988079071045, 'id': 6}, {'box': [807.6466064453125, 335.85693359375, 297.88714599609375, 102.92459106445312], 'conf': 0.86727875, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9874665141105652, 'id': 7}]"
18,2024/5/22 Wednesday 0:0:1,"[{'box': [472.4373779296875, 194.6514892578125, 46.962677001953125, 90.14305114746094], 'conf': 0.9071778, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5703125, 328.2290344238281, 33.35614013671875, 53.27581787109375], 'conf': 0.82144845, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.4295349121094, 304.39642333984375, 203.88177490234375, 76.44534301757812], 'conf': 0.7713547, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.9056396484375, 244.97903442382812, 64.45806884765625, 46.02262878417969], 'conf': 0.7103287, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9991990923881531, 'id': 4}, {'box': [545.02734375, 60.60959243774414, 205.27407836914062, 119.51184844970703], 'conf': 0.64376897, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.6334521770477295, 'id': 5}, {'box': [432.21820068359375, 311.80694580078125, 330.7175598144531, 167.83493041992188], 'conf': 0.48454776, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999986886978149, 'id': 6}, {'box': [809.36474609375, 335.5142822265625, 293.9561767578125, 102.17929077148438], 'conf': 0.8618668, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9903426170349121, 'id': 7}]"
19,2024/5/22 Wednesday 0:0:1,"[{'box': [472.439453125, 194.64559936523438, 46.9678955078125, 90.13273620605469], 'conf': 0.9069509, 'label_id': 'cell phone', 'sub_labels': 'other', 'sub_labels_conf': 0.9557451605796814, 'id': 1}, {'box': [539.5997314453125, 328.175537109375, 33.4892578125, 53.206817626953125], 'conf': 0.83819836, 'label_id': 'mouse', 'sub_labels': 'not_human', 'sub_labels_conf': 0.5782958269119263, 'id': 2}, {'box': [409.4393615722656, 304.3685302734375, 203.9442138671875, 76.37997436523438], 'conf': 0.7743137, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9980055689811707, 'id': 3}, {'box': [1030.8804931640625, 244.97203063964844, 64.45587158203125, 46.051544189453125], 'conf': 0.69656736, 'label_id': 'cup', 'sub_labels': 'other', 'sub_labels_conf': 0.9992908239364624, 'id': 4}, {'box': [544.9844970703125, 60.63074493408203, 205.23257446289062, 119.58871459960938], 'conf': 0.6249847, 'label_id': 'tv', 'sub_labels': 'other', 'sub_labels_conf': 0.5653119087219238, 'id': 5}, {'box': [431.44073486328125, 312.026123046875, 332.3799133300781, 169.41729736328125], 'conf': 0.47050568, 'label_id': 'laptop', 'sub_labels': 'not_human', 'sub_labels_conf': 0.9999982118606567, 'id': 6}, {'box': [811.5128784179688, 335.45855712890625, 290.0875244140625, 101.89797973632812], 'conf': 0.85420346, 'label_id': 'keyboard', 'sub_labels': 'not_human', 'sub_labels_conf': 0.972991943359375, 'id': 7}]"
