frame_number,box_x,box_y,box_w,box_h,conf,label,user_id,region
0,472,194,46,90,0.9080498,cell phone,1,entrance
0,539,328,33,53,0.8260816,mouse,2,entrance
0,409,304,203,76,0.7634219,keyboard,3,
0,1030,244,64,46,0.64202464,cup,4,
0,545,60,206,119,0.63575035,tv,5,
1,472,194,46,90,0.9089773,cell phone,1,entrance
1,539,328,33,53,0.83273816,mouse,2,entrance
1,409,304,203,76,0.75973624,keyboard,3,
1,1030,244,64,46,0.37793386,cup,4,
1,545,60,207,119,0.6057613,tv,5,
2,472,194,46,90,0.91041505,cell phone,1,entrance
2,539,328,33,53,0.8344767,mouse,2,entrance
2,409,304,203,76,0.75851023,keyboard,3,
2,1030,244,64,46,0.433474,cup,4,
2,546,60,207,119,0.5980437,tv,5,
3,472,194,46,90,0.9103124,cell phone,1,entrance
3,539,328,33,53,0.84247077,mouse,2,entrance
3,409,304,203,76,0.7530345,keyboard,3,
3,1030,244,64,46,0.39503738,cup,4,
3,545,60,207,119,0.5914336,tv,5,
3,430,314,331,171,0.65218526,laptop,6,entrance
4,472,194,46,90,0.9100253,cell phone,1,entrance
4,539,328,33,53,0.84949505,mouse,2,entrance
4,409,304,203,76,0.7607784,keyboard,3,
4,1030,244,64,46,0.3629657,cup,4,
4,546,60,207,119,0.58810866,tv,5,
4,430,314,331,172,0.64380383,laptop,6,entrance
5,472,194,46,90,0.91025746,cell phone,1,entrance
5,539,328,33,53,0.8447374,mouse,2,entrance
5,409,304,203,76,0.7595893,keyboard,3,
5,1030,244,64,45,0.411277,cup,4,
5,545,60,207,118,0.5859866,tv,5,
5,430,314,331,172,0.7323896,laptop,6,entrance
6,472,194,46,90,0.90841055,cell phone,1,entrance
6,539,328,33,53,0.8478557,mouse,2,entrance
6,409,304,203,76,0.76331544,keyboard,3,
6,1030,244,64,46,0.4053562,cup,4,
6,546,60,207,118,0.5965885,tv,5,
6,430,314,331,172,0.68614954,laptop,6,entrance
7,472,194,46,90,0.9089651,cell phone,1,entrance
7,539,328,33,53,0.84156805,mouse,2,entrance
7,409,304,203,76,0.76011705,keyboard,3,
7,1030,244,64,46,0.45615482,cup,4,
7,545,60,206,119,0.58780986,tv,5,
7,431,314,332,172,0.65508103,laptop,6,entrance
8,472,194,46,90,0.90832394,cell phone,1,entrance
8,539,328,33,53,0.83843356,mouse,2,entrance
8,409,304,203,76,0.76474154,keyboard,3,
8,1030,244,64,46,0.41783148,cup,4,
8,545,60,206,118,0.5739987,tv,5,
8,431,314,332,172,0.6203489,laptop,6,entrance
9,472,194,46,90,0.90976614,cell phone,1,entrance
9,539,328,33,53,0.831473,mouse,2,entrance
9,409,304,203,76,0.75755256,keyboard,3,
9,1030,244,64,46,0.4612604,cup,4,
9,545,59,205,118,0.578826,tv,5,
9,431,313,332,172,0.61211,laptop,6,entrance
10,472,194,46,90,0.9106485,cell phone,1,entrance
10,539,328,33,53,0.82574993,mouse,2,entrance
10,409,304,203,76,0.75138634,keyboard,3,
10,1030,244,64,46,0.4787571,cup,4,
10,545,59,205,118,0.5799492,tv,5,
10,431,313,333,172,0.60174274,laptop,6,entrance
11,472,194,46,90,0.911926,cell phone,1,entrance
11,539,328,33,53,0.8084289,mouse,2,entrance
11,409,304,203,76,0.7530678,keyboard,3,
11,1030,244,64,46,0.5682823,cup,4,
11,544,59,205,117,0.58966863,tv,5,
11,431,314,333,172,0.6371718,laptop,6,entrance
12,472,194,46,90,0.91044176,cell phone,1,entrance
12,539,328,33,53,0.8339143,mouse,2,entrance
12,409,304,203,76,0.764022,keyboard,3,
12,1030,244,64,46,0.45353672,cup,4,
12,544,59,205,118,0.59592944,tv,5,
12,431,314,333,172,0.5891768,laptop,6,entrance
13,472,194,46,90,0.90799963,cell phone,1,entrance
13,539,328,33,53,0.8319432,mouse,2,entrance
13,409,304,203,76,0.7592281,keyboard,3,
13,1030,244,64,46,0.577373,cup,4,
13,545,60,205,119,0.6234811,tv,5,
13,431,314,333,172,0.6378505,laptop,6,entrance
13,827,326,260,82,0.6259595,keyboard,7,
14,472,194,46,90,0.90510106,cell phone,1,entrance
14,539,328,33,53,0.8384966,mouse,2,entrance
14,409,304,203,76,0.7742627,keyboard,3,
14,1030,244,64,46,0.6557307,cup,4,
14,545,60,205,119,0.6255218,tv,5,
14,431,313,333,172,0.5184477,laptop,6,entrance
14,823,331,268,92,0.8015511,keyboard,7,
15,472,194,46,90,0.9059235,cell phone,1,entrance
15,539,328,33,53,0.8159008,mouse,2,entrance
15,409,304,203,76,0.77709085,keyboard,3,
15,1030,244,64,46,0.6931203,cup,4,
15,545,60,205,120,0.61904514,tv,5,
15,431,314,333,172,0.6525462,laptop,6,entrance
15,811,334,291,100,0.8318307,keyboard,7,entrance
16,472,194,46,90,0.90664315,cell phone,1,entrance
16,539,328,33,53,0.8502843,mouse,2,entrance
16,409,304,203,76,0.7853012,keyboard,3,
16,1030,244,64,46,0.6884219,cup,4,
16,545,60,205,120,0.6419493,tv,5,
16,431,313,333,171,0.6186148,laptop,6,entrance
16,807,335,298,102,0.8415859,keyboard,7,entrance
17,472,194,46,90,0.9066568,cell phone,1,entrance
17,539,328,33,53,0.8442969,mouse,2,entrance
17,409,304,203,76,0.77640796,keyboard,3,
