frame_number,region_name,people_count
212,entrance,4
213,atm,0
213,entrance,4
214,atm,0
214,entrance,4
215,atm,0
215,entrance,4
216,atm,0
216,entrance,4
217,atm,0
217,entrance,4
218,atm,0
218,entrance,4
219,atm,0
219,entrance,4
220,atm,0
220,entrance,4
221,atm,0
221,entrance,4
222,atm,0
222,entrance,4
223,atm,0
223,entrance,4
224,atm,0
224,entrance,4
225,atm,0
225,entrance,4
226,atm,0
226,entrance,4
227,atm,0
227,entrance,4
228,atm,0
228,entrance,4
229,atm,0
229,entrance,4
230,atm,0
230,entrance,4
231,atm,0
231,entrance,4
232,atm,0
232,entrance,4
233,atm,0
233,entrance,4
234,atm,0
234,entrance,4
235,atm,0
235,entrance,3
236,atm,0
236,entrance,3
237,atm,0
237,entrance,3
238,atm,0
238,entrance,3
239,atm,0
239,entrance,3
240,atm,0
240,entrance,3
241,atm,0
241,entrance,3
242,atm,0
242,entrance,3
243,atm,0
243,entrance,3
244,atm,0
244,entrance,3
245,atm,0
245,entrance,3
246,atm,0
246,entrance,3
247,atm,0
247,entrance,3
248,atm,0
248,entrance,3
249,atm,0
249,entrance,3
250,atm,0
250,entrance,3
251,atm,0
251,entrance,3
252,atm,0
252,entrance,3
253,atm,0
253,entrance,3
254,atm,0
254,entrance,3
255,atm,0
255,entrance,3
256,atm,0
256,entrance,3
257,atm,0
257,entrance,3
258,atm,0
258,entrance,3
259,atm,0
259,entrance,3
260,atm,0
260,entrance,3
261,atm,0
261,entrance,3
262,atm,0
262,entrance,3
263,atm,0
263,entrance,4
264,atm,0
264,entrance,4
265,atm,0
265,entrance,4
266,atm,0
266,entrance,4
267,atm,0
267,entrance,4
268,atm,0
268,entrance,4
269,atm,0
269,entrance,4
270,atm,0
270,entrance,4
271,atm,0
271,entrance,4
272,atm,0
272,entrance,4
273,atm,0
273,entrance,4
274,atm,0
274,entrance,4
275,atm,0
275,entrance,4
276,atm,0
276,entrance,4
277,atm,0
277,entrance,4
278,atm,0
278,entrance,4
279,atm,0
279,entrance,4
280,atm,0
280,entrance,4
281,atm,0
281,entrance,4
282,atm,0
282,entrance,4
283,atm,0
283,entrance,4
284,atm,0
284,entrance,4
285,atm,0
285,entrance,4
286,atm,0
286,entrance,4
287,atm,0
287,entrance,4
288,atm,0
288,entrance,4
289,atm,0
289,entrance,4
290,atm,0
290,entrance,4
291,atm,0
291,entrance,4
292,atm,0
292,entrance,4
293,atm,0
293,entrance,4
294,atm,0
294,entrance,4
295,atm,0
295,entrance,3
296,atm,0
296,entrance,3
297,atm,0
297,entrance,3
298,atm,0
298,entrance,3
299,atm,0
299,entrance,3
300,atm,0
300,entrance,3
301,atm,0
301,entrance,3
302,atm,0
302,entrance,3
303,atm,0
303,entrance,3
304,atm,0
304,entrance,3
305,atm,0
305,entrance,3
306,atm,0
306,entrance,3
307,atm,0
307,entrance,3
308,atm,0
308,entrance,3
309,atm,0
309,entrance,3
310,atm,0
310,entrance,3
311,atm,0
311,entrance,3
312,atm,0
312,entrance,3
313,atm,0
313,entrance,3
314,atm,0
314,entrance,3
315,atm,0
315,entrance,3
316,atm,0
316,entrance,3
317,atm,0
317,entrance,3
318,atm,0
318,entrance,3
319,atm,0
319,entrance,3
320,atm,0
320,entrance,3
321,atm,0
321,entrance,3
322,atm,0
322,entrance,3
323,atm,0
323,entrance,3
324,atm,0
324,entrance,3
325,atm,0
325,entrance,3
326,atm,0
326,entrance,3
327,atm,0
327,entrance,3
328,atm,0
328,entrance,3
329,atm,0
329,entrance,3
330,atm,0
330,entrance,4
331,atm,0
331,entrance,4
332,atm,0
332,entrance,4
333,atm,0
333,entrance,4
334,atm,0
334,entrance,4
335,atm,0
335,entrance,4
336,atm,0
336,entrance,4
337,atm,0
337,entrance,4
338,atm,0
338,entrance,4
339,atm,0
339,entrance,4
340,atm,0
340,entrance,4
341,atm,0
341,entrance,4
342,atm,0
342,entrance,4
343,atm,0
343,entrance,4
344,atm,0
344,entrance,4
345,atm,0
345,entrance,4
346,atm,0
346,entrance,4
347,atm,0
347,entrance,4
348,atm,0
348,entrance,4
349,atm,0
349,entrance,4
350,atm,0
350,entrance,4
351,atm,0
351,entrance,4
352,atm,0
352,entrance,4
353,atm,0
353,entrance,4
354,atm,0
354,entrance,4
355,atm,0
355,entrance,4
356,atm,0
356,entrance,4
357,atm,0
357,entrance,3
358,atm,0
358,entrance,3
359,atm,0
359,entrance,3
360,atm,0
360,entrance,3
361,atm,0
361,entrance,3
362,atm,0
362,entrance,3
363,atm,0
363,entrance,3
364,atm,0
364,entrance,3
365,atm,0
365,entrance,3
366,atm,0
366,entrance,3
367,atm,0
367,entrance,3
368,atm,0
368,entrance,3
369,atm,0
